id,source_handle,post_url,author,posted_at,raw_content,fetched_at,processed
1,ShamsCharania,https://x.com/ShamsCharania/status/PASTE_REAL_STATUS_ID_1,Shams Charania,2026-07-01T18:00:00Z,"BREAKING: LeBron James has informed the Los Angeles Lakers he will play elsewhere for the 2026-27 season, Klutch Sports CEO Rich Paul tells ESPN. James has not yet decided where he'll play next.",,0
2,ShamsCharania,https://x.com/ShamsCharania/status/PASTE_REAL_STATUS_ID_2,Shams Charania,2026-07-02T15:30:00Z,"LeBron James is now an unrestricted free agent. Rich Paul says he has spoken with 27 teams. James wants to play meaningful, competitive basketball at his next stop, sources say.",,0
3,ShamsCharania,https://x.com/ShamsCharania/status/PASTE_REAL_STATUS_ID_3,Shams Charania,2026-07-03T17:45:00Z,The Giannis Antetokounmpo trade to the Miami Heat is complete. Miami acquire the two-time MVP in a blockbuster reshaping the Eastern Conference.,,0
4,ChrisBHaynes,https://x.com/ChrisBHaynes/status/PASTE_REAL_STATUS_ID_4,Chris Haynes,2026-07-05T14:20:00Z,"Rich Paul named the New York Knicks, Philadelphia 76ers and Boston Celtics among teams of interest for LeBron James on the Game Over podcast this week.",,0
5,FabrizioRomano,https://x.com/FabrizioRomano/status/PASTE_REAL_STATUS_ID_5,Fabrizio Romano,2026-07-06T09:30:00Z,"Sandro Tonali to Tottenham, here we go and confirmed. Full agreement reached with Newcastle on a £100m deal, contract until 2031. Medical booked, documents being signed.",,0
6,SkySportsNews,https://x.com/SkySportsNews/status/PASTE_REAL_STATUS_ID_6,Sky Sports News,2026-07-06T16:10:00Z,"DONE DEAL: Tottenham have completed the £100m signing of Sandro Tonali from Newcastle United, a club record. The Italy midfielder has signed a five-year contract.",,0
7,FabrizioRomano,https://x.com/FabrizioRomano/status/PASTE_REAL_STATUS_ID_7,Fabrizio Romano,2026-07-07T08:00:00Z,"Jurgen Klopp to become the new Germany manager, here we go. Agreement reached with the DFB, he replaces Julian Nagelsmann. Deal to be signed in the coming days.",,0
8,ShamsCharania,https://x.com/ShamsCharania/status/PASTE_REAL_STATUS_ID_8,Shams Charania,2026-07-07T16:10:00Z,"Teams are recruiting LeBron James via voice memos sent to Rich Paul. Philadelphia may be gaining an edge, with Sixers ownership figure Bob Myers appearing on Paul's podcast.",,0
9,David_Ornstein,https://x.com/David_Ornstein/status/PASTE_REAL_STATUS_ID_9,David Ornstein,2026-07-08T10:15:00Z,"EXCL: Julian Alvarez has informed Atletico Madrid he wants to leave this summer, with Barcelona his preferred destination. Atletico value him at around €150m and point to his €500m release clause. #AFC among those monitoring.",,0
10,David_Ornstein,https://x.com/David_Ornstein/status/PASTE_REAL_STATUS_ID_10,David Ornstein,2026-07-08T19:34:00Z,EXCL: Bruno Guimaraes informs Newcastle of wish to leave & join Arsenal. #AFC ready to offer up to £60m at present but no club-to-club contact yet + #NUFC still not entertaining bids for the 28yo.,,0
11,BenJacobs_,https://x.com/BenJacobs_/status/PASTE_REAL_STATUS_ID_11,Ben Jacobs,2026-07-09T09:12:00Z,"Bruno Guimaraes has already verbally agreed personal terms with Arsenal. Club-to-club talks are the next step, and Newcastle have so far received nothing formal.",,0
12,GuillemBalague,https://x.com/GuillemBalague/status/PASTE_REAL_STATUS_ID_12,Guillem Balague,2026-07-09T11:40:00Z,Barcelona have already had a €100m bid for Julian Alvarez turned down. The complication: Atletico are extremely reluctant to sell one of their best players to a direct La Liga rival.,,0
13,BenJacobs_,https://x.com/BenJacobs_/status/PASTE_REAL_STATUS_ID_13,Ben Jacobs,2026-07-09T15:20:00Z,"Enzo Fernandez's camp have explored a summer exit from Chelsea, with Real Madrid showing interest. Early stage, but the Argentina midfielder's future is one to watch.",,0
14,ChrisBHaynes,https://x.com/ChrisBHaynes/status/PASTE_REAL_STATUS_ID_14,Chris Haynes,2026-07-09T19:00:00Z,"Stephen Curry, at a celebrity golf event, acknowledged the allure of teaming up with LeBron James and said he'd pitch the Warriors' winning environment. Golden State pushing.",,0
15,FabrizioRomano,https://x.com/FabrizioRomano/status/PASTE_REAL_STATUS_ID_15,Fabrizio Romano,2026-07-10T08:00:00Z,On this day in 2014. Some things you never forget. 🇩🇪 7-1 🇧🇷,,0
16,FabrizioRomano,https://x.com/FabrizioRomano/status/PASTE_REAL_STATUS_ID_16,Fabrizio Romano,2026-07-10T13:05:00Z,"Understand Real Madrid's earlier proposal for Julian Alvarez was also rejected, and the player does not fancy a move to the Bernabeu. Madrid now focusing on a defender. Real, as things stand, are out of the Alvarez race.",,0
17,NBABuzzCentral,https://x.com/NBABuzzCentral/status/PASTE_REAL_STATUS_ID_17,NBA Buzz Central,2026-07-10T21:15:00Z,"🚨🚨 LEBRON TO THE KNICKS IS 100% DONE 🚨🚨 Signing tomorrow, our sources confirm it!! HERE WE GO 🔵🟠 RT to be first!!",,0
18,BenJacobs_,https://x.com/BenJacobs_/status/PASTE_REAL_STATUS_ID_18,Ben Jacobs,2026-07-11T09:50:00Z,"Arsenal have made fresh contact over Julian Alvarez. Sporting director Andrea Berta is pushing, and crucially Atletico are far more willing to sell abroad than to Barcelona or Real. Arsenal see a genuine opening.",,0
19,FabrizioRomano,https://x.com/FabrizioRomano/status/PASTE_REAL_STATUS_ID_19,Fabrizio Romano,2026-07-11T13:05:00Z,Arsenal planning to offer around €90m for Bruno Guimaraes. Newcastle do not want to sell and are asking well in excess of £100m. No formal bid submitted yet.,,0
20,ShamsCharania,https://x.com/ShamsCharania/status/PASTE_REAL_STATUS_ID_20,Shams Charania,2026-07-11T20:30:00Z,Summer League: No. 1 pick AJ Dybantsa drops 28 in Las Vegas as the Jazz roll. Standout night for the rookie class.,,0
21,SkySportsNews,https://x.com/SkySportsNews/status/PASTE_REAL_STATUS_ID_21,Sky Sports News,2026-07-12T08:20:00Z,"Arsenal are pushing to finalise a deal for Julian Alvarez before pre-season begins on 20 July, per reports. Sticking point: Arsenal reluctant to go beyond £90m, Atletico holding out for north of £100m.",,0
