id,source_handle,post_url,author,posted_at,raw_content,fetched_at,processed
1,ShamsCharania,https://x.com/ShamsCharania/status/2077090517578568141,Shams Charania,2026-07-14T17:59:04Z,"USA Basketball is expected to name Oklahoma City's Mark Daigneault, Detroit's JB Bickerstaff and Gonzaga's Mark Few as assistant coaches for national team coach Erik Spoelstra's staff, sources tell ESPN.",,0
2,ShamsCharania,https://x.com/ShamsCharania/status/2076802023023116360,Shams Charania,2026-07-13T22:52:42Z,"Free agent guard Jordan McLaughlin has agreed to a one-year, $3.3 million deal to return to the San Antonio Spurs, agent Greg Lawrence of THE•TEAM tells ESPN. McLaughlin appeared in 44 games for the Spurs last season and now enters his ninth campaign.",,0
3,ShamsCharania,https://x.com/ShamsCharania/status/2076772307050385505,Shams Charania,2026-07-13T20:54:37Z,"Lakers reach a deal with Williams... continues to strongly pursue Jonathan Kuminga as a potential starting forward, sources tell ESPN.",,0
4,ShamsCharania,https://x.com/ShamsCharania/status/2076771740848734300,Shams Charania,2026-07-13T20:52:22Z,"Free agent forward Ziaire Williams has agreed on a one-year, $3 million deal to sign with the Los Angeles Lakers, sources tell ESPN.",,0
5,ShamsCharania,https://x.com/ShamsCharania/status/2076748167144722710,Shams Charania,2026-07-13T19:18:41Z,"Discussing a LeBron James decision inching closer for NBA Today:",,0
6,ShamsCharania,https://x.com/ShamsCharania/status/2076446612944277716,Shams Charania,2026-07-12T23:20:25Z,"Longtime NBA coach Frank Vogel has agreed to become the associate head coach for the Golden State Warriors under head coach Steve Kerr, sources tell ESPN.",,0
7,ShamsCharania,https://x.com/ShamsCharania/status/2076397365372866908,Shams Charania,2026-07-12T20:04:44Z,"EuroLeague Defender of the Year Alpha Diallo has agreed to a one-year, $1.4 million deal to sign with the Denver Nuggets...",,0
8,ShamsCharania,https://x.com/ShamsCharania/status/2076067531706806691,Shams Charania,2026-07-11T22:14:05Z,"Gary Trent Jr. agrees to 4-year, $64M deal to stay with Bucks",,0
9,FabrizioRomano,https://x.com/FabrizioRomano/status/2077357147524837502,Fabrizio Romano,2026-07-15T11:38:34Z,"Adeyemi, arriving in Barcelona. 🛩️🔵🔴",,0
10,FabrizioRomano,https://x.com/FabrizioRomano/status/2077331336348451001,Fabrizio Romano,2026-07-15T09:56:00Z,"🚨🇫🇷 French Federation plan to sign all formal documents with Zinedine Zidane after the end of the World Cup.",,0
11,FabrizioRomano,https://x.com/FabrizioRomano/status/2077322532311519613,Fabrizio Romano,2026-07-15T09:21:01Z,"🚨🇸🇳 Borussia Dortmund called days ago to be informed on Ibrahima Mbaye situation at PSG.",,0
12,FabrizioRomano,https://x.com/FabrizioRomano/status/2077312210230218826,Fabrizio Romano,2026-07-15T08:40:00Z,"🚨💸 Manchester United officially receive €12.4m from Mason Greenwood sell-on clause as consequence of his move to Fenerbahçe.",,0
13,FabrizioRomano,https://x.com/FabrizioRomano/status/2077302147973280071,Fabrizio Romano,2026-07-15T08:00:01Z,"🚨🔴⚪️ Christos Tzolis didn’t open to any other club... he wants Arsenal move.",,0
14,FabrizioRomano,https://x.com/FabrizioRomano/status/2077294090882781677,Fabrizio Romano,2026-07-15T07:28:00Z,"🚨🔵🔴 Excl: Barcelona defender and Spain U18 captain Alex Campos has agreed new deal at the club until June 2029.",,0
15,FabrizioRomano,https://x.com/FabrizioRomano/status/2077287046553694633,Fabrizio Romano,2026-07-15T07:00:00Z,"🚨🍒 Bournemouth are closing in on Antonio Silva deal, here we go soon!",,0
16,FabrizioRomano,https://x.com/FabrizioRomano/status/2077279998218510826,Fabrizio Romano,2026-07-15T06:32:00Z,"🚨⚫️🔵 Inter remain in talks for Djed Spence...",,0
17,David_Ornstein,https://x.com/David_Ornstein/status/2076962074249384365,David Ornstein,2026-07-14T09:28:41Z,"🚨 EXCL: Sunderland to sign Thomas Meunier as free agent...",,0
18,David_Ornstein,https://x.com/David_Ornstein/status/2076942352065708271,David Ornstein,2026-07-14T08:10:19Z,"🚨 Man City pushing hard for Ayyoub Bouaddi from Lille...",,0
19,David_Ornstein,https://x.com/David_Ornstein/status/2076611884606771298,David Ornstein,2026-07-13T10:17:09Z,"🚨 Youri Tielemans move from Aston Villa to Manchester United through £35m release clause...",,0
20,David_Ornstein,https://x.com/David_Ornstein/status/2076605204120711446,David Ornstein,2026-07-13T09:50:36Z,"🚨 EXCLUSIVE: Manchester United in advanced talks to sign Youri Tielemans from Aston Villa...",,0
21,David_Ornstein,https://x.com/David_Ornstein/status/2076380621492932886,David Ornstein,2026-07-12T18:58:12Z,"🚨 EXCL: Aston Villa in process of finalising move to sign Johan Manzambi from Freiburg...",,0
22,ChrisBHaynes,https://x.com/ChrisBHaynes/status/2074347959727370353,Chris Haynes,2026-07-07T04:21:07Z,"Reporting on what not to expect during this free agency period for LeBron James...",,0
23,ShamsCharania,https://x.com/ShamsCharania/status/2076053293500100774,Shams Charania,2026-07-11T21:17:31Z,"Free agent guard Gary Trent Jr. has agreed to a four-year, $64 million deal to stay with the Milwaukee Bucks...",,0
24,FabrizioRomano,https://x.com/FabrizioRomano/status/2077273245003260253,Fabrizio Romano,2026-07-15T06:05:10Z,"🔜✍🏼🇩🇪 #Klopp",,0
25,FabrizioRomano,https://x.com/FabrizioRomano/status/2075613070982836258,Fabrizio Romano,2026-07-10T16:08:13Z,"🚨💣 EXCLUSIVE: Barcelona agree deal to sign Karim Adeyemi, HERE WE GO! 🔵🔴",,0
